Variable,Variable_Code,type,n,test,statistic,p_value,effect_size,effect_size_name,group_stats,n_categories,or,or_ci_low,or_ci_high,sig,p_formatted
Lactation support at discharge (servings),varsataburculuktakaçölçek,categorical,1064,Chi-square,25.69245512991272,0.004176593846479887,0.10987958021177263,Cramér's V,,6.0,,,,**,0.0042
Volume change Day 1→2 (cc),eng_delta_vol_d1_d2,continuous,1064,Kruskal-Wallis,10.612146371844116,0.00496137089693984,0.009983204489034916,ε²,"{1: {'mean': 85.39049531459169, 'sd': 139.23138719044937, 'median': 40.0, 'n': 747}, 2: {'mean': 48.99285714285715, 'sd': 105.63191807997953, 'median': 29.5, 'n': 280}, 3: {'mean': 47.475675675675674, 'sd': 68.15514330231109, 'median': 24.0, 'n': 37}}",,,,,**,0.0050
Gestational age category (detailed),VAR00002,categorical,994,Chi-square,21.8509972036795,0.00519950275744858,0.10484010342208304,Cramér's V,,5.0,,,,**,0.0052
Gestational age groups,VAR00004,categorical,1064,Chi-square,21.798227437252695,0.00530368783226182,0.10121031533909872,Cramér's V,,5.0,,,,**,0.0053
Gestational age (grouped),gebelik_haftası_gruplu,categorical,1064,Chi-square,21.798227437252695,0.00530368783226182,0.10121031533909872,Cramér's V,,5.0,,,,**,0.0053
Number of previously breastfed children,emzirdigicocuksayisi,categorical,1064,Chi-square,27.770016192968818,0.005976813684610717,0.11423580716900028,Cramér's V,,7.0,,,,**,0.0060
Day lactation support initiated,kacıncıgundesutdestegibaslandı,continuous,262,Kruskal-Wallis,9.723800623369367,0.0077357695413898106,0.03725594108570639,ε²,"{1: {'mean': 10.295652173913043, 'sd': 18.105693530464364, 'median': 0.0, 'n': 230}, 2: {'mean': 22.291666666666668, 'sd': 24.324757770216543, 'median': 19.5, 'n': 24}, 3: {'mean': 23.125, 'sd': 42.81334071124493, 'median': 7.0, 'n': 8}}",,,,,**,0.0077
Tube feeding on Day 1,eng_tube_d1,categorical,1064,Chi-square,9.557478883274515,0.00840658928765951,0.09477654211569643,Cramér's V,,2.0,1.3498532863849766,0.9729610713446124,1.872740799635705,**,0.0084
Maternal education (grouped),anne_egitim_grup,categorical,1064,Chi-square,13.54941195168026,0.00888109574305728,0.07979476714992907,Cramér's V,,3.0,,,,**,0.0089
Breast problem treatment,memesorunuvarsa_tedavidekullanılanlar,categorical,1064,Chi-square,19.757681346987756,0.011292748468262644,0.09635675738179104,Cramér's V,,5.0,,,,*,0.0113
Orogastric tube at discharge,taburculuktaogvarmiyokmu,categorical,1063,Chi-square,8.29355874416247,0.015815269650314913,0.08832910507607038,Cramér's V,,2.0,0.3497525865946919,0.105958113092292,1.1544832977832278,*,0.0158
Maternal medical condition (grouped),anne_hastalık_grup,categorical,1064,Chi-square,37.89143343829715,0.018842345846265787,0.13343959208586442,Cramér's V,,12.0,,,,*,0.0188
Extremely low birth weight (<1000g),eng_elbw_flag,categorical,1064,Chi-square,7.715741220895118,0.02111290929935134,0.08515654106293703,Cramér's V,,2.0,0.42954545454545456,0.22944216635720205,0.8041647289601157,*,0.0211
Pregnancy type,gebeliktipi,categorical,1064,Chi-square,10.999290646384724,0.026571987663603722,0.07189464228624068,Cramér's V,,3.0,,,,*,0.0266
Postnatal discharge date (days),pntaburculuktarihi,continuous,1053,Kruskal-Wallis,6.775158859833828,0.03379036994640078,0.00644026507588767,ε²,"{1: {'mean': 9002.078590785908, 'sd': 244063.6572143876, 'median': 8.5, 'n': 738}, 2: {'mean': 24.230215827338128, 'sd': 67.54298714588091, 'median': 9.0, 'n': 278}, 3: {'mean': 41.5945945945946, 'sd': 54.90115332701706, 'median': 23.0, 'n': 37}}",,,,,*,0.0338
Weight gain per week (g/week),eng_weight_per_week,continuous,1064,Kruskal-Wallis,6.492638974778944,0.03891717973616504,0.006107844755201265,ε²,"{1: {'mean': 71.99756817307778, 'sd': 18.827852997154668, 'median': 73.5294096020762, 'n': 747}, 2: {'mean': 72.91581348906156, 'sd': 20.03547343535092, 'median': 74.7796453090105, 'n': 280}, 3: {'mean': 63.5923266762221, 'sd': 22.74747094216717, 'median': 68.05555366512351, 'n': 37}}",,,,,*,0.0389
Very preterm (<32 weeks),eng_very_preterm,categorical,1064,Chi-square,5.911223014364562,0.05204682383616954,0.07453630476342547,Cramér's V,,2.0,0.9450292397660819,0.6470620142234078,1.380208147567923,,0.0520
Gestational age category,gebelik_34,categorical,1064,Chi-square,5.411605856297715,0.06681665333092146,0.07131686847866439,Cramér's V,,2.0,1.1081972016702073,0.8131096537243108,1.5103756697077322,,0.0668
Number of living children,yasayancocuksayisi,categorical,1064,Chi-square,19.271918983384516,0.08217416336049188,0.09516487222565796,Cramér's V,,7.0,,,,,0.0822
Birth weight (g),dogumagirligi(gram),continuous,1064,Kruskal-Wallis,4.396785645840287,0.1109813818388098,0.0041362047467923685,ε²,"{1: {'mean': 2601.1686746987953, 'sd': 823.9025821104667, 'median': 2670.0, 'n': 747}, 2: {'mean': 2634.875, 'sd': 861.7833444120936, 'median': 2720.0, 'n': 280}, 3: {'mean': 2284.054054054054, 'sd': 1022.5504862827053, 'median': 2450.0, 'n': 37}}",,,,,,0.1110
Type of lactation support at discharge,taburculuktadestekcesidi,categorical,256,Chi-square,12.928870682732168,0.1143204926357121,0.1589078366607867,Cramér's V,,5.0,,,,,0.1143
Lactation momentum score,eng_lactation_momentum,continuous,1064,Kruskal-Wallis,4.168842757471216,0.12437906772200823,0.003921771173538303,ε²,"{1: {'mean': 0.06047294425459553, 'sd': 0.4940661215389113, 'median': 7.499997578541695e-08, 'n': 747}, 2: {'mean': 0.07946776234046571, 'sd': 0.37168831672563757, 'median': 0.02558797905490342, 'n': 280}, 3: {'mean': 0.12108873910787381, 'sd': 0.41922243212291477, 'median': 0.0, 'n': 37}}",,,,,,0.1244
Clinical severity score,eng_severity_score,categorical,1064,Chi-square,7.075283746180613,0.13196290650780199,0.05766152429899309,Cramér's V,,3.0,,,,,0.1320
Maternal age,anneyasi,continuous,1064,Kruskal-Wallis,4.011063267207968,0.1345887247836283,0.0037733426784646923,ε²,"{1: {'mean': 29.933065595716197, 'sd': 5.181770128239126, 'median': 29.0, 'n': 747}, 2: {'mean': 30.45357142857143, 'sd': 5.105832081978404, 'median': 30.0, 'n': 280}, 3: {'mean': 31.486486486486488, 'sd': 6.081034367521613, 'median': 31.0, 'n': 37}}",,,,,,0.1346
Days in follow-up,takiptekacgun,continuous,1064,Kruskal-Wallis,3.8256892637715256,0.14765975096650427,0.00359895509291771,ε²,"{1: {'mean': 15.595716198125837, 'sd': 21.3540907889026, 'median': 7.0, 'n': 747}, 2: {'mean': 17.15714285714286, 'sd': 28.34952641088478, 'median': 7.0, 'n': 280}, 3: {'mean': 21.864864864864863, 'sd': 32.49030809518617, 'median': 8.0, 'n': 37}}",,,,,,0.1477
Pregnancy type (grouped),gebelik_tipi_gruplu,categorical,1064,Chi-square,3.7757390905535484,0.15139400357383692,0.059570353069341185,Cramér's V,,2.0,0.8940938511326861,0.6369835940949627,1.2549833654178875,,0.1514
taburculukta_kilo_gram,taburculukta_kilo_gram,continuous,1064,Kruskal-Wallis,3.6980846749544027,0.15738781858049838,0.0034789131467115736,ε²,"{1: {'mean': 2799.1271753681394, 'sd': 676.92258509937, 'median': 2760.0, 'n': 747}, 2: {'mean': 2845.8571428571427, 'sd': 700.3082892189675, 'median': 2790.0, 'n': 280}, 3: {'mean': 2591.0810810810813, 'sd': 727.7334821354732, 'median': 2555.0, 'n': 37}}",,,,,,0.1574
Maternal healthcare professional,eng_mat_healthcare_pro,categorical,1064,Chi-square,3.640505837879471,0.16198477673453873,0.05849382910290455,Cramér's V,,2.0,1.4903489959056346,0.9177430764472105,2.4202199794254677,,0.1620
Maternal education level,anneegitim,categorical,1064,Chi-square,15.428871374748677,0.21881616107208107,0.08514933634864678,Cramér's V,,7.0,,,,,0.2188
Neurological barrier to feeding,eng_neuro_barrier,categorical,1064,Chi-square,2.804916122134302,0.24599155791258398,0.05134393209433982,Cramér's V,,2.0,1.5141843971631206,0.7861688135152729,2.9163639528772807,,0.2460
Maternal age risk category,eng_mat_age_risk,categorical,1064,Chi-square,2.703670062476718,0.25876498287751043,0.05040876205384761,Cramér's V,,2.0,0.8888027896164278,0.6302138968667548,1.2534956825888057,,0.2588
Weight on Day 3 (g),kilo3.gun,continuous,1064,Kruskal-Wallis,2.5795883514934594,0.2753274463242628,0.002426705880991025,ε²,"{1: {'mean': 2523.7911646586344, 'sd': 824.5663214852582, 'median': 2600.0, 'n': 747}, 2: {'mean': 2574.6392857142855, 'sd': 825.5564313783578, 'median': 2697.5, 'n': 280}, 3: {'mean': 2354.189189189189, 'sd': 897.7506718286368, 'median': 2420.0, 'n': 37}}",,,,,,0.2753
Galactagogue used,eng_galactagogue,categorical,1064,Chi-square,2.5764285556092803,0.27576277939046695,0.04920828598322866,Cramér's V,,2.0,1.2378713510720745,0.9063396171496305,1.6906747237024138,,0.2758
